State,Commercial,Electric power,Residential,Industrial,Transportation,Total,Commercial pct,Electric power pct,Residential pct,Industrial pct,Transportation pct
Alabama,2.5,50.2,2,18,36.6,109.3,2.30%,45.90%,1.80%,16.50%,33.50%
Alaska,2.2,2.8,1.6,21.1,13.6,41.3,5.40%,6.90%,3.90%,51.00%,32.80%
Arizona,3.2,32.7,2.6,4.7,38.2,81.4,4.00%,40.10%,3.20%,5.70%,47.00%
Arkansas,3.5,30.3,2,8.3,19.1,63.2,5.50%,48.00%,3.10%,13.20%,30.20%
California,19.5,35.4,25.1,62.3,183.9,326.2,6.00%,10.80%,7.70%,19.10%,56.40%
Colorado,4.5,29.2,8.5,12.3,34.1,88.7,5.10%,32.90%,9.60%,13.90%,38.50%
Connecticut,4.2,9.2,7.1,1.6,14.9,37,11.40%,25.00%,19.20%,4.20%,40.20%
Delaware,0.8,2,1,3.6,5.2,12.7,6.50%,15.80%,8.00%,28.80%,40.90%
District of Columbia,0.9,0,0.7,0,1,2.6,34.80%,0.00%,26.40%,0.90%,37.90%
Florida,6.8,92.7,1.4,11.8,118.3,231,2.90%,40.10%,0.60%,5.10%,51.20%
Georgia,4.7,40.4,7.8,12.4,59.4,124.8,3.80%,32.40%,6.20%,10.00%,47.60%
Hawaii,0.4,5.8,0,0.9,10.9,18.1,2.30%,31.80%,0.20%,5.20%,60.40%
Idaho,1.7,1.8,2.4,3.4,11.5,20.7,8.00%,8.50%,11.50%,16.20%,55.70%
Illinois,15.4,48.8,24.8,35,59.8,183.7,8.40%,26.50%,13.50%,19.10%,32.50%
Indiana,6.6,68.6,8.8,40.8,38.4,163.2,4.00%,42.00%,5.40%,25.00%,23.50%
Iowa,4.8,20.6,5.4,21,19.7,71.5,6.70%,28.80%,7.60%,29.40%,27.60%
Kansas,3,23.3,4.1,13.8,18,62.1,4.80%,37.50%,6.60%,22.20%,28.90%
Kentucky,2.9,55.7,3.4,14,33.6,109.6,2.60%,50.80%,3.10%,12.80%,30.70%
Louisiana,2.4,32.1,2,108,47.3,191.8,1.20%,16.70%,1.10%,56.30%,24.70%
Maine,1.8,1.7,2.7,1.6,7.2,14.9,11.80%,11.60%,17.80%,10.40%,48.40%
Maryland,5.4,10.5,6,2.7,25.9,50.6,10.80%,20.70%,12.00%,5.40%,51.20%
Massachusetts,8.1,6.8,12.9,3.3,28,59.2,13.70%,11.50%,21.80%,5.60%,47.30%
Michigan,11.7,56,20.8,18.3,47.2,154,7.60%,36.40%,13.50%,11.90%,30.60%
Minnesota,8.1,19.9,10.6,16.7,29.1,84.4,9.60%,23.60%,12.60%,19.80%,34.50%
Mississippi,1.7,26.8,1.5,11.8,23.3,65.1,2.60%,41.10%,2.40%,18.10%,35.80%
Missouri,4.6,56.8,6.9,8,36.6,112.9,4.10%,50.30%,6.10%,7.10%,32.50%
Montana,1.8,13.3,2,4.5,7.9,29.5,6.00%,45.20%,6.60%,15.40%,26.80%
Nebraska,2.2,20.5,2.6,9.2,13.6,48.1,4.50%,42.70%,5.40%,19.20%,28.20%
Nevada,2.4,13.3,2.8,3.1,18.9,40.4,5.90%,32.90%,6.80%,7.60%,46.70%
New Hampshire,1.4,2.4,2.5,0.7,6.7,13.8,10.40%,17.30%,18.40%,5.40%,48.60%
New Jersey,10.1,14.4,15.2,9.3,43.6,92.5,11.00%,15.50%,16.40%,10.00%,47.10%
New Mexico,1.9,18,2.3,8.7,15.6,46.5,4.00%,38.70%,5.00%,18.80%,33.50%
New York,22.2,27.2,33.9,7.9,74.9,166.1,13.40%,16.40%,20.40%,4.70%,45.10%
North Carolina,6.5,40.1,5.4,10.2,54.4,116.6,5.60%,34.40%,4.70%,8.70%,46.70%
North Dakota,1.4,27.9,1.2,17.8,8.7,57,2.40%,49.00%,2.10%,31.30%,15.30%
Ohio,12.7,71,18.4,36,58.1,196.2,6.50%,36.20%,9.40%,18.30%,29.60%
Oklahoma,3.3,25.5,3.9,23.9,30.5,87.1,3.80%,29.30%,4.40%,27.40%,35.00%
Oregon,2.6,7.4,3.1,4.7,19.8,37.6,6.90%,19.70%,8.20%,12.40%,52.70%
Pennsylvania,12.1,74.3,20.1,50.6,56.4,213.5,5.70%,34.80%,9.40%,23.70%,26.40%
Rhode Island,0.9,2.8,2.1,0.6,3.8,10.2,9.10%,27.30%,20.70%,5.80%,37.10%
South Carolina,2.3,24.7,2.1,6.8,31.4,67.3,3.40%,36.70%,3.20%,10.10%,46.60%
South Dakota,0.9,2.7,1.1,4.1,6.8,15.6,5.80%,17.00%,7.30%,26.30%,43.60%
Tennessee,4.4,23.7,4.5,13.8,44.8,91.1,4.80%,26.00%,4.90%,15.10%,49.20%
Texas,14.5,186.2,13.7,228.8,219.8,663,2.20%,28.10%,2.10%,34.50%,33.10%
Utah,3.2,26.5,4.5,6.7,19.1,60.1,5.40%,44.20%,7.50%,11.10%,31.80%
Vermont,0.9,0,1.3,0.4,2.8,5.5,16.80%,0.10%,24.10%,7.70%,51.30%
Virginia,6.1,22.9,6.4,11.1,49.7,96.2,6.40%,23.80%,6.60%,11.60%,51.60%
Washington,5,9.5,6.2,11.5,42.5,74.7,6.70%,12.70%,8.30%,15.30%,57.00%
West Virginia,1.7,51.4,1.7,11.7,12.5,79.2,2.20%,64.90%,2.20%,14.80%,15.80%
Wisconsin,7.5,31.1,10.5,11.9,29.5,90.6,8.30%,34.30%,11.60%,13.20%,32.60%
Wyoming,1.1,35.4,1,11.7,7.1,56.2,1.90%,62.90%,1.70%,20.80%,12.60%
